Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2021;195.516
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2020;196.139
16 Cuenca;TOTAL EDADES;TOTAL;Ambos sexos;2019;196.329
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2022;724.418
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2021;726.033
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2020;727.121
20 Gipuzkoa;TOTAL EDADES;TOTAL;Ambos sexos;2019;723.576
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2022;793.478
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2021;786.596
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2020;781.788
17 Girona;TOTAL EDADES;TOTAL;Ambos sexos;2019;771.044
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2022;921.987
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2021;921.338
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2020;919.168
18 Granada;TOTAL EDADES;TOTAL;Ambos sexos;2019;914.678
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2022;268.127
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2021;265.588
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2020;261.995
19 Guadalajara;TOTAL EDADES;TOTAL;Ambos sexos;2019;257.762
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2022;528.763
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2021;525.835
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2020;524.278
21 Huelva;TOTAL EDADES;TOTAL;Ambos sexos;2019;521.870
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2022;225.456
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2021;224.264
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2020;222.687
22 Huesca;TOTAL EDADES;TOTAL;Ambos sexos;2019;220.461
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2022;623.761
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2021;627.190
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2020;631.381
23 Jaén;TOTAL EDADES;TOTAL;Ambos sexos;2019;633.564
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2022;448.179
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2021;451.706
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2020;456.439
24 León;TOTAL EDADES;TOTAL;Ambos sexos;2019;460.001
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2022;441.443
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2021;439.727
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2020;438.517
25 Lleida;TOTAL EDADES;TOTAL;Ambos sexos;2019;434.930
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2022;323.989
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2021;326.013
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2020;327.946
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2019;329.587
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2022;6.750.336
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2021;6.751.251
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2020;6.779.888
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2019;6.663.394
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.717.504
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.695.651
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.685.920
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.661.785
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.531.878
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.518.486
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.511.251
