,value,percentage,datetime
0,434119.206,0.663721458717251,2020-01-01T00:00:00.000+01:00
1,406285.139,0.5839595175371912,2020-02-01T00:00:00.000+01:00
2,500662.199,0.5985804178848776,2020-03-01T00:00:00.000+01:00
3,613669.748,0.7394649438919824,2020-04-01T00:00:00.000+02:00
4,685757.911,0.7300615866887863,2020-05-01T00:00:00.000+02:00
5,599007.761,0.7126011544605362,2020-06-01T00:00:00.000+02:00
6,387663.473,0.6123043502283294,2020-07-01T00:00:00.000+02:00
7,258781.222,0.5105267170490645,2020-08-01T00:00:00.000+02:00
8,269449.295,0.5270638116799456,2020-09-01T00:00:00.000+02:00
9,328697.622,0.4695141241644054,2020-10-01T00:00:00.000+02:00
10,328941.025,0.640669029257656,2020-11-01T00:00:00.000+01:00
11,322965.905,0.4376575072311753,2020-12-01T00:00:00.000+01:00
