,value,percentage,datetime
0,56524.881,0.046282850859860496,2019-01-01T00:00:00.000+01:00
1,65394.535,0.07446139242092797,2019-02-01T00:00:00.000+01:00
2,68060.45,0.06826069041446736,2019-03-01T00:00:00.000+01:00
3,66665.149,0.05967701596416004,2019-04-01T00:00:00.000+02:00
4,64692.345,0.06780318588316271,2019-05-01T00:00:00.000+02:00
5,48251.199,0.04897773705340384,2019-06-01T00:00:00.000+02:00
6,59170.406,0.06152312562833324,2019-07-01T00:00:00.000+02:00
7,51212.644,0.06455499567909119,2019-08-01T00:00:00.000+02:00
8,47172.254,0.05825554094590452,2019-09-01T00:00:00.000+02:00
9,24349.004,0.031064019855943707,2019-10-01T00:00:00.000+02:00
10,24587.189,0.015232479836671699,2019-11-01T00:00:00.000+01:00
11,46057.884,0.046095777171911496,2019-12-01T00:00:00.000+01:00
