,value,percentage,datetime
0,254632.493,0.33825781076438327,2019-01-01T00:00:00.000+01:00
1,280915.127,0.516400448674331,2019-02-01T00:00:00.000+01:00
2,264679.209,0.45428542744478745,2019-03-01T00:00:00.000+01:00
3,270286.976,0.44355879207121246,2019-04-01T00:00:00.000+02:00
4,438949.715,0.5547087229270825,2019-05-01T00:00:00.000+02:00
5,392444.259,0.548484695224018,2019-06-01T00:00:00.000+02:00
6,276233.133,0.5127857613036476,2019-07-01T00:00:00.000+02:00
7,240480.068,0.5214718567618871,2019-08-01T00:00:00.000+02:00
8,205774.283,0.5045932651705295,2019-09-01T00:00:00.000+02:00
9,213406.628,0.46251492104762776,2019-10-01T00:00:00.000+02:00
10,225881.229,0.3520949458916032,2019-11-01T00:00:00.000+01:00
11,412861.014,0.5467158882346685,2019-12-01T00:00:00.000+01:00
