,value,percentage,datetime
0,304.314,0.003771183116782207,2020-01-01T00:00:00.000+01:00
1,267.69,0.0023103506479481054,2020-02-01T00:00:00.000+01:00
2,299.312,0.002467557291901709,2020-03-01T00:00:00.000+01:00
3,288.387,0.003627631404512506,2020-04-01T00:00:00.000+02:00
4,288.463,0.0029365972584564945,2020-05-01T00:00:00.000+02:00
5,272.333,0.002112537273755417,2020-06-01T00:00:00.000+02:00
6,290.301,0.0016135939939915037,2020-07-01T00:00:00.000+02:00
7,294.139,0.0014881731697493528,2020-08-01T00:00:00.000+02:00
8,291.651,0.002500562506744915,2020-09-01T00:00:00.000+02:00
9,299.756,0.002477419650024927,2020-10-01T00:00:00.000+02:00
10,285.276,0.003908368891681986,2020-11-01T00:00:00.000+01:00
11,299.581,0.003795017160874013,2020-12-01T00:00:00.000+01:00
