,value,percentage,datetime
0,4.709,0.04312705492311496,2020-01-01T00:00:00.000+01:00
1,5.41,0.013533678471319734,2020-02-01T00:00:00.000+01:00
2,6.338,0.011500770740355312,2020-03-01T00:00:00.000+01:00
3,5.699,0.011687211741761632,2020-04-01T00:00:00.000+02:00
4,8.014,0.01596016928055763,2020-05-01T00:00:00.000+02:00
5,8.75,0.015969003707546402,2020-06-01T00:00:00.000+02:00
6,7.909,0.014370254354773942,2020-07-01T00:00:00.000+02:00
7,8.19,0.015613978228128034,2020-08-01T00:00:00.000+02:00
8,6.833,0.013145630227446529,2020-09-01T00:00:00.000+02:00
9,6.295,0.010807989499338559,2020-10-01T00:00:00.000+02:00
10,4.727,0.009022473153990924,2020-11-01T00:00:00.000+01:00
11,3.833,0.012629366159361315,2020-12-01T00:00:00.000+01:00
