,value,percentage,datetime
0,90894.154,0.1936078792952535,2021-01-01T00:00:00.000+01:00
1,87206.919,0.21477902262885923,2021-02-01T00:00:00.000+01:00
2,68967.438,0.14362003755829528,2021-03-01T00:00:00.000+01:00
3,27645.648,0.07374196849886833,2021-04-01T00:00:00.000+02:00
4,22567.477,0.08014849251621499,2021-05-01T00:00:00.000+02:00
5,25468.707,0.09244438577196697,2021-06-01T00:00:00.000+02:00
6,19257.172,0.05151849976900351,2021-07-01T00:00:00.000+02:00
7,17414.277,0.05306408802418804,2021-08-01T00:00:00.000+02:00
8,11991.399,0.05149922367857833,2021-09-01T00:00:00.000+02:00
9,6889.344,0.02172533051308118,2021-10-01T00:00:00.000+02:00
10,23163.448,0.05232904133173093,2021-11-01T00:00:00.000+01:00
11,65543.093,0.22500070794295587,2021-12-01T00:00:00.000+01:00
