,value,percentage,datetime
0,171819.515,0.5210083441168245,2019-01-01T00:00:00.000+01:00
1,261289.653,0.7572128247059633,2019-02-01T00:00:00.000+01:00
2,141990.993,0.49351434270589845,2019-03-01T00:00:00.000+01:00
3,148493.429,0.543648164129291,2019-04-01T00:00:00.000+02:00
4,119019.553,0.5566189502320787,2019-05-01T00:00:00.000+02:00
5,81570.817,0.602066005303132,2019-06-01T00:00:00.000+02:00
6,64653.584,0.48899454921936447,2019-07-01T00:00:00.000+02:00
7,36158.663,0.34075962973928675,2019-08-01T00:00:00.000+02:00
8,37947.521,0.22387153132720994,2019-09-01T00:00:00.000+02:00
9,70126.813,0.34933677145887804,2019-10-01T00:00:00.000+02:00
10,356504.89,0.6165497929695699,2019-11-01T00:00:00.000+01:00
11,426727.744,0.7276797090621794,2019-12-01T00:00:00.000+01:00
