,value,percentage,datetime
0,24136.491,0.055331107359139056,2021-01-01T00:00:00.000+01:00
1,42168.572,0.1437693128155314,2021-02-01T00:00:00.000+01:00
2,57353.784,0.19036382798823817,2021-03-01T00:00:00.000+01:00
3,55178.804,0.23905380090849948,2021-04-01T00:00:00.000+02:00
4,50876.323,0.17394614311357126,2021-05-01T00:00:00.000+02:00
5,37953.239,0.17976256126384413,2021-06-01T00:00:00.000+02:00
6,35459.233,0.15602834879049915,2021-07-01T00:00:00.000+02:00
7,40319.814,0.18832522807145083,2021-08-01T00:00:00.000+02:00
8,35589.356,0.18644664091071972,2021-09-01T00:00:00.000+02:00
9,28930.73,0.15451779814521044,2021-10-01T00:00:00.000+02:00
10,23869.564,0.06363829310651445,2021-11-01T00:00:00.000+01:00
11,27798.868,0.06757341994258484,2021-12-01T00:00:00.000+01:00
