,value,percentage,datetime
0,34583.391,0.08010788301717488,2019-01-01T00:00:00.000+01:00
1,76468.871,0.27308611890584433,2019-02-01T00:00:00.000+01:00
2,49043.068,0.14078346747899234,2019-03-01T00:00:00.000+01:00
3,42637.727,0.1644819814598942,2019-04-01T00:00:00.000+02:00
4,47543.649,0.13479138387290385,2019-05-01T00:00:00.000+02:00
5,39882.439,0.14976982952853293,2019-06-01T00:00:00.000+02:00
6,23208.688,0.08113454048171582,2019-07-01T00:00:00.000+02:00
7,18503.258,0.08159255115152812,2019-08-01T00:00:00.000+02:00
8,16581.292,0.06414778311916265,2019-09-01T00:00:00.000+02:00
9,14618.967,0.06648013381623029,2019-10-01T00:00:00.000+02:00
10,63900.263,0.2328607359725315,2019-11-01T00:00:00.000+01:00
11,83446.172,0.27131321248142776,2019-12-01T00:00:00.000+01:00
