,value,percentage,datetime
0,805.427,0.04533923222717628,2019-01-01T00:00:00.000+01:00
1,499.329,0.02973096940701355,2019-02-01T00:00:00.000+01:00
2,702.388,0.03017164864265747,2019-03-01T00:00:00.000+01:00
3,639.471,0.025738667343509603,2019-04-01T00:00:00.000+02:00
4,653.721,0.024462591492747543,2019-05-01T00:00:00.000+02:00
5,349.853,0.012895049169209902,2019-06-01T00:00:00.000+02:00
6,230.366,0.008450826420397305,2019-07-01T00:00:00.000+02:00
7,347.945,0.013786171290855466,2019-08-01T00:00:00.000+02:00
8,513.735,0.021171133525076255,2019-09-01T00:00:00.000+02:00
9,402.117,0.016352655545162124,2019-10-01T00:00:00.000+02:00
10,495.183,0.023852853668990603,2019-11-01T00:00:00.000+01:00
11,445.285,0.029527804135934997,2019-12-01T00:00:00.000+01:00
