,value,percentage,datetime
0,12505.179,0.3146005140732783,2020-01-01T00:00:00.000+01:00
1,8883.309,0.24042641604656664,2020-02-01T00:00:00.000+01:00
2,7810.953,0.20636749672553767,2020-03-01T00:00:00.000+01:00
3,12028.71,0.30346015737471493,2020-04-01T00:00:00.000+02:00
4,10583.927,0.25940178017415083,2020-05-01T00:00:00.000+02:00
5,12005.759,0.2789203243546531,2020-06-01T00:00:00.000+02:00
6,12281.391,0.28187896264912804,2020-07-01T00:00:00.000+02:00
7,9978.374,0.25390579913562283,2020-08-01T00:00:00.000+02:00
8,7401.98,0.2072796083877788,2020-09-01T00:00:00.000+02:00
9,4474.834,0.13673277786395402,2020-10-01T00:00:00.000+02:00
10,8052.323,0.24614974288211536,2020-11-01T00:00:00.000+01:00
11,18567.381,0.41651730571796736,2020-12-01T00:00:00.000+01:00
