,periodo,Total,cod_prov,provincias,cod_actividad,ramas de actividad
41,2019,8226777,3,Alicante/Alacant,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
42,2021,2443690,4,Almería,1," Agricultura, ganadería, silvicultura y pesca"
43,2020,2519276,4,Almería,1," Agricultura, ganadería, silvicultura y pesca"
44,2019,2400114,4,Almería,1," Agricultura, ganadería, silvicultura y pesca"
45,2021,1348695,4,Almería,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
46,2020,1302726,4,Almería,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
47,2019,1416242,4,Almería,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
48,2021,1020119,4,Almería,3, - De las cuales: Industria manufacturera
49,2020,1011494,4,Almería,3, - De las cuales: Industria manufacturera
50,2019,996328,4,Almería,3, - De las cuales: Industria manufacturera
51,2021,723957,4,Almería,7, Construcción
52,2020,648214,4,Almería,7, Construcción
53,2019,774405,4,Almería,7, Construcción
54,2021,3793774,4,Almería,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
55,2020,3232834,4,Almería,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
56,2019,4017874,4,Almería,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
57,2021,2816431,4,Almería,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
58,2020,2687981,4,Almería,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
59,2019,2726384,4,Almería,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
60,2021,3041318,4,Almería,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
61,2020,2937782,4,Almería,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
62,2019,3007440,4,Almería,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
63,2021,201362,1,Araba/Álava,1," Agricultura, ganadería, silvicultura y pesca"
64,2020,189557,1,Araba/Álava,1," Agricultura, ganadería, silvicultura y pesca"
65,2019,212839,1,Araba/Álava,1," Agricultura, ganadería, silvicultura y pesca"
66,2021,3832143,1,Araba/Álava,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
67,2020,3388952,1,Araba/Álava,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
