,periodo,Total,cod_prov,provincias,cod_actividad,ramas de actividad
213,2021,2948934,9,Burgos,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
214,2020,2703579,9,Burgos,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
215,2019,3069858,9,Burgos,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
216,2021,2524749,9,Burgos,3, - De las cuales: Industria manufacturera
217,2020,2158189,9,Burgos,3, - De las cuales: Industria manufacturera
218,2019,2294659,9,Burgos,3, - De las cuales: Industria manufacturera
219,2021,527010,9,Burgos,7, Construcción
220,2020,560582,9,Burgos,7, Construcción
221,2019,642790,9,Burgos,7, Construcción
222,2021,1630774,9,Burgos,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
223,2020,1390971,9,Burgos,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
224,2019,1733220,9,Burgos,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
225,2021,1738882,9,Burgos,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
226,2020,1678852,9,Burgos,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
227,2019,1715185,9,Burgos,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
228,2021,1914522,9,Burgos,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
229,2020,1920724,9,Burgos,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
230,2019,2025682,9,Burgos,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
231,2021,539289,10,Cáceres,1," Agricultura, ganadería, silvicultura y pesca"
232,2020,384965,10,Cáceres,1," Agricultura, ganadería, silvicultura y pesca"
233,2019,549609,10,Cáceres,1," Agricultura, ganadería, silvicultura y pesca"
234,2021,1314786,10,Cáceres,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
235,2020,1044502,10,Cáceres,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
236,2019,1131335,10,Cáceres,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
237,2021,304861,10,Cáceres,3, - De las cuales: Industria manufacturera
238,2020,290796,10,Cáceres,3, - De las cuales: Industria manufacturera
239,2019,319407,10,Cáceres,3, - De las cuales: Industria manufacturera
240,2021,595778,10,Cáceres,7, Construcción
241,2020,579651,10,Cáceres,7, Construcción
242,2019,676716,10,Cáceres,7, Construcción
243,2021,1230075,10,Cáceres,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
244,2020,1081047,10,Cáceres,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
245,2019,1341820,10,Cáceres,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
246,2021,1393426,10,Cáceres,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
247,2020,1362215,10,Cáceres,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
248,2019,1374099,10,Cáceres,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
249,2021,2098080,10,Cáceres,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
250,2020,2119364,10,Cáceres,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
251,2019,2171468,10,Cáceres,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
252,2021,590182,11,Cádiz,1," Agricultura, ganadería, silvicultura y pesca"
253,2020,517282,11,Cádiz,1," Agricultura, ganadería, silvicultura y pesca"
254,2019,652209,11,Cádiz,1," Agricultura, ganadería, silvicultura y pesca"
255,2021,2965350,11,Cádiz,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
256,2020,2230039,11,Cádiz,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
257,2019,3068425,11,Cádiz,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
258,2021,1903996,11,Cádiz,3, - De las cuales: Industria manufacturera
259,2020,1325381,11,Cádiz,3, - De las cuales: Industria manufacturera
260,2019,2016715,11,Cádiz,3, - De las cuales: Industria manufacturera
261,2021,1228858,11,Cádiz,7, Construcción
262,2020,1285220,11,Cádiz,7, Construcción
263,2019,1519941,11,Cádiz,7, Construcción
264,2021,4713925,11,Cádiz,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
265,2020,3915656,11,Cádiz,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
266,2019,4931412,11,Cádiz,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
267,2021,4743273,11,Cádiz,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
268,2020,4504009,11,Cádiz,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
269,2019,4618525,11,Cádiz,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
270,2021,6237843,11,Cádiz,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
271,2020,6029118,11,Cádiz,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
272,2019,6208929,11,Cádiz,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
273,2021,185011,39,Cantabria,1," Agricultura, ganadería, silvicultura y pesca"
274,2020,155059,39,Cantabria,1," Agricultura, ganadería, silvicultura y pesca"
275,2019,153770,39,Cantabria,1," Agricultura, ganadería, silvicultura y pesca"
276,2021,2834352,39,Cantabria,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
277,2020,2479943,39,Cantabria,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
278,2019,2671327,39,Cantabria,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
279,2021,2264179,39,Cantabria,3, - De las cuales: Industria manufacturera
280,2020,2001452,39,Cantabria,3, - De las cuales: Industria manufacturera
281,2019,2188319,39,Cantabria,3, - De las cuales: Industria manufacturera
282,2021,824530,39,Cantabria,7, Construcción
283,2020,810175,39,Cantabria,7, Construcción
284,2019,929138,39,Cantabria,7, Construcción
285,2021,2693982,39,Cantabria,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
286,2020,2319072,39,Cantabria,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
287,2019,2921214,39,Cantabria,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
288,2021,3078541,39,Cantabria,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
289,2020,2940643,39,Cantabria,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
290,2019,2967918,39,Cantabria,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
291,2021,3069890,39,Cantabria,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
292,2020,3022731,39,Cantabria,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
293,2019,3217884,39,Cantabria,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
294,2021,429078,12,Castellón/Castelló,1," Agricultura, ganadería, silvicultura y pesca"
295,2020,394736,12,Castellón/Castelló,1," Agricultura, ganadería, silvicultura y pesca"
296,2019,366391,12,Castellón/Castelló,1," Agricultura, ganadería, silvicultura y pesca"
297,2021,5233733,12,Castellón/Castelló,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
298,2020,4312375,12,Castellón/Castelló,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
299,2019,4928270,12,Castellón/Castelló,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
300,2021,4811949,12,Castellón/Castelló,3, - De las cuales: Industria manufacturera
301,2020,3975218,12,Castellón/Castelló,3, - De las cuales: Industria manufacturera
302,2019,4574401,12,Castellón/Castelló,3, - De las cuales: Industria manufacturera
303,2021,758542,12,Castellón/Castelló,7, Construcción
304,2020,749752,12,Castellón/Castelló,7, Construcción
305,2019,889592,12,Castellón/Castelló,7, Construcción
306,2021,2930316,12,Castellón/Castelló,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
307,2020,2492836,12,Castellón/Castelló,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
308,2019,3183379,12,Castellón/Castelló,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
309,2021,2748923,12,Castellón/Castelló,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
310,2020,2600229,12,Castellón/Castelló,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
311,2019,2651625,12,Castellón/Castelló,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
312,2021,2508262,12,Castellón/Castelló,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
313,2020,2431729,12,Castellón/Castelló,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
314,2019,2566816,12,Castellón/Castelló,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
315,2021,962771,13,Ciudad Real,1," Agricultura, ganadería, silvicultura y pesca"
316,2020,1067394,13,Ciudad Real,1," Agricultura, ganadería, silvicultura y pesca"
317,2019,868740,13,Ciudad Real,1," Agricultura, ganadería, silvicultura y pesca"
318,2021,1830190,13,Ciudad Real,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
319,2020,1425229,13,Ciudad Real,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
320,2019,1844805,13,Ciudad Real,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
321,2021,1547223,13,Ciudad Real,3, - De las cuales: Industria manufacturera
322,2020,1184306,13,Ciudad Real,3, - De las cuales: Industria manufacturera
323,2019,1589514,13,Ciudad Real,3, - De las cuales: Industria manufacturera
324,2021,660968,13,Ciudad Real,7, Construcción
325,2020,635088,13,Ciudad Real,7, Construcción
326,2019,697770,13,Ciudad Real,7, Construcción
327,2021,2003563,13,Ciudad Real,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
328,2020,1764264,13,Ciudad Real,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
329,2019,2097107,13,Ciudad Real,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
330,2021,1715384,13,Ciudad Real,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
331,2020,1655507,13,Ciudad Real,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
332,2019,1669390,13,Ciudad Real,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
333,2021,2628011,13,Ciudad Real,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
334,2020,2573562,13,Ciudad Real,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
335,2019,2589507,13,Ciudad Real,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
336,2021,1495086,14,Córdoba,1," Agricultura, ganadería, silvicultura y pesca"
337,2020,1135706,14,Córdoba,1," Agricultura, ganadería, silvicultura y pesca"
338,2019,851623,14,Córdoba,1," Agricultura, ganadería, silvicultura y pesca"
339,2021,1519904,14,Córdoba,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
340,2020,1269133,14,Córdoba,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
341,2019,1391994,14,Córdoba,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
342,2021,1230162,14,Córdoba,3, - De las cuales: Industria manufacturera
343,2020,1011867,14,Córdoba,3, - De las cuales: Industria manufacturera
344,2019,1051099,14,Córdoba,3, - De las cuales: Industria manufacturera
345,2021,780631,14,Córdoba,7, Construcción
346,2020,689441,14,Córdoba,7, Construcción
347,2019,789781,14,Córdoba,7, Construcción
348,2021,2674401,14,Córdoba,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
349,2020,2262007,14,Córdoba,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
350,2019,3046711,14,Córdoba,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
351,2021,2786778,14,Córdoba,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
352,2020,2665513,14,Córdoba,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
353,2019,2738673,14,Córdoba,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
354,2021,3966979,14,Córdoba,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
355,2020,3847235,14,Córdoba,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
356,2019,3989016,14,Córdoba,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
357,2021,971640,15,"Coruña, A",1," Agricultura, ganadería, silvicultura y pesca"
358,2020,908992,15,"Coruña, A",1," Agricultura, ganadería, silvicultura y pesca"
359,2019,963008,15,"Coruña, A",1," Agricultura, ganadería, silvicultura y pesca"
360,2021,3953030,15,"Coruña, A",2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
361,2020,3628728,15,"Coruña, A",2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
362,2019,4181304,15,"Coruña, A",2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
363,2021,2597552,15,"Coruña, A",3, - De las cuales: Industria manufacturera
364,2020,2355242,15,"Coruña, A",3, - De las cuales: Industria manufacturera
365,2019,2912326,15,"Coruña, A",3, - De las cuales: Industria manufacturera
366,2021,1762785,15,"Coruña, A",7, Construcción
367,2020,1716942,15,"Coruña, A",7, Construcción
368,2019,1887684,15,"Coruña, A",7, Construcción
369,2021,6169564,15,"Coruña, A",4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
370,2020,5397387,15,"Coruña, A",4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
371,2019,6485156,15,"Coruña, A",4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
372,2021,5622858,15,"Coruña, A",5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
373,2020,5371364,15,"Coruña, A",5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
374,2019,5434532,15,"Coruña, A",5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
375,2021,6262883,15,"Coruña, A",6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
376,2020,6118677,15,"Coruña, A",6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
377,2019,6187238,15,"Coruña, A",6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
378,2021,757799,16,Cuenca,1," Agricultura, ganadería, silvicultura y pesca"
379,2020,695451,16,Cuenca,1," Agricultura, ganadería, silvicultura y pesca"
380,2019,695787,16,Cuenca,1," Agricultura, ganadería, silvicultura y pesca"
381,2021,513832,16,Cuenca,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
382,2020,433609,16,Cuenca,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
383,2019,471007,16,Cuenca,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
384,2021,288247,16,Cuenca,3, - De las cuales: Industria manufacturera
385,2020,254710,16,Cuenca,3, - De las cuales: Industria manufacturera
386,2019,272495,16,Cuenca,3, - De las cuales: Industria manufacturera
387,2021,273704,16,Cuenca,7, Construcción
388,2020,252164,16,Cuenca,7, Construcción
389,2019,276267,16,Cuenca,7, Construcción
390,2021,987352,16,Cuenca,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
391,2020,898560,16,Cuenca,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
392,2019,1063817,16,Cuenca,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
393,2021,671677,16,Cuenca,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
394,2020,645053,16,Cuenca,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
395,2019,655596,16,Cuenca,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
396,2021,952006,16,Cuenca,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
397,2020,903256,16,Cuenca,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
398,2019,932880,16,Cuenca,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
399,2021,91933,20,Gipuzkoa,1," Agricultura, ganadería, silvicultura y pesca"
400,2020,96251,20,Gipuzkoa,1," Agricultura, ganadería, silvicultura y pesca"
401,2019,119345,20,Gipuzkoa,1," Agricultura, ganadería, silvicultura y pesca"
402,2021,5921660,20,Gipuzkoa,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
403,2020,5176787,20,Gipuzkoa,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
404,2019,5707550,20,Gipuzkoa,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
405,2021,5534807,20,Gipuzkoa,3, - De las cuales: Industria manufacturera
406,2020,4897711,20,Gipuzkoa,3, - De las cuales: Industria manufacturera
407,2019,5470374,20,Gipuzkoa,3, - De las cuales: Industria manufacturera
408,2021,1186543,20,Gipuzkoa,7, Construcción
409,2020,1160660,20,Gipuzkoa,7, Construcción
410,2019,1497326,20,Gipuzkoa,7, Construcción
411,2021,4963137,20,Gipuzkoa,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
412,2020,4277263,20,Gipuzkoa,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
413,2019,5254022,20,Gipuzkoa,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
414,2021,4743611,20,Gipuzkoa,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
415,2020,4586643,20,Gipuzkoa,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
416,2019,4677171,20,Gipuzkoa,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
417,2021,4661181,20,Gipuzkoa,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
418,2020,4626774,20,Gipuzkoa,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
419,2019,4959233,20,Gipuzkoa,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
420,2021,504047,17,Girona,1," Agricultura, ganadería, silvicultura y pesca"
421,2020,587367,17,Girona,1," Agricultura, ganadería, silvicultura y pesca"
422,2019,631719,17,Girona,1," Agricultura, ganadería, silvicultura y pesca"
423,2021,2877101,17,Girona,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
424,2020,2471563,17,Girona,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
